MDTU,abs_delta_S
1607,0.4937
1608,0.5802
1609,1.053
1610,0.2324
1611,0.7061
1612,0.316
1613,0.4334
1614,0.9909
1615,0.3435
1616,0.6892
1617,0.0907
1618,1.029
1619,0.3437
1620,0.7952
1621,0.5665
1622,0.6356
1623,0.02014
1624,0.009683
1625,0.2111
1626,0.899
1627,0.1169
1628,0.2171
1629,1.036
1630,1.356
1631,0.6805
1632,0.09149
1633,0.376
1634,0.464
1635,0.2779
1636,0.1616
1637,0.2694
1638,0.8912
1639,0.9854
1640,0.2957
1641,0.1129
1642,0.2676
1643,1.822
1644,1.238
1645,0.3258
1646,0.3927
1647,1.609
1648,0.5929
1649,1.417
1650,0.477
1651,0.673
1652,0.1378
1653,1.306
1654,0.3801
1655,0.4625
1656,0.3808
1657,0.3734
1658,1.549
1659,0.4906
1660,0.1353
1661,0.3899
1662,0.6025
1663,0.201
1664,0.3532
1665,0.7843
1666,0.8189
1667,0.6769
1668,0.8461
1669,0.0827
1670,0.216
1671,1.742
1672,0.7433
1673,0.9105
1674,0.3269
1675,0.2669
1676,0.07051
1677,0.556
1678,0.9604
1679,0.6865
1680,0.08408
1681,0.09934
1682,0.4182
1683,0.191
1684,0.08373
1685,0.6509
1686,1.217
1687,0.2399
1688,0.5561
1689,0.1082
1690,0.5102
1691,1.631
1692,0.07344
1693,0.7585
1694,0.7748
1695,0.6248
1696,0.7568
1697,0.1928
1698,0.6666
1699,0.1929
1700,0.1334
1701,1.325
1702,1.345
1703,0.2275
1704,0.3901
1705,0.5407
1706,0.3761
1707,0.1283
1708,0.4825
1709,0.4866
1710,0.5496
1711,0.8695
1712,1.742
1713,0.6234
1714,0.05159
1715,0.3876
1716,0.03307
1717,0.4253
1718,0.4558
1719,0.2969
1720,0.9351
1721,0.7361
1722,1.092
1723,0.07941
1724,0.7294
1725,0.04074
1726,0.2363
1727,0.5047
1728,0.6271
1729,0.8089
1730,0.1927
1731,0.9093
1732,0.4298
1733,1.025
1734,0.1841
1735,0.5459
1736,0.407
1737,0.6244
1738,0.3003
1739,0.1415
1740,0.118
1741,0.3034
1742,0.2292
1743,1.033
1744,0.8491
1745,0.7251
1746,1.006
1747,0.0801
1748,0.2665
1749,0.8758
1750,0.9524
1751,0.4501
1752,0.2726
1753,0.7954
1754,1.209
1755,0.7809
1756,0.5589
1757,0.4041
1758,0.1414
1759,0.3624
1760,0.9348
1761,0.2618
1762,0.1344
1763,1.016
1764,0.1795
1765,0.6852
1766,0.3435
1767,0.1073
1768,0.5956
1769,0.08873
1770,0.2868
1771,0.9556
1772,0.04906
1773,0.07116
1774,0.6619
1775,0.4986
1776,0.7984
1777,0.2038
1778,0.06804
1779,0.6781
1780,0.3818
1781,0.3069
1782,0.01823
1783,0.3288
1784,0.3601
1785,1.111
1786,1.008
1787,0.03991
1788,0.251
1789,1.197
1790,1.249
1791,1.04
1792,0.4636
1793,0.6578
1794,0.5924
1795,0.314
1796,1.232
1797,0.8078
1798,0.3411
1799,1.1
1800,0.4981
1801,1.021
1802,0.2168
1803,0.3038
1804,0.6095
1805,0.5725
1806,0.02618
1807,0.07541
1808,0.5512
1809,0.6319
1810,0.1175
1811,0.1571
1812,0.08953
1813,1.487
1814,0.4264
1815,0.1045
1816,0.2083
1817,0.2704
1818,0.2891
1819,0.04633
1820,0.07517
1821,0.3293
1822,0.3457
1823,1.499
1824,0.8155
1825,0.4493
1826,0.2142
1827,0.3191
1828,0.2087
1829,0.0523
1830,1.066
1831,0.4267
1832,0.7221
1833,0.5504
1834,0.308
1835,0.8333
1836,0.475
1837,0.163
1838,0.976
1839,1.409
1840,0.08587
1841,0.02838
1842,1.31
1843,1.223
1844,0.5505
1845,0.308
1846,0.2857
1847,0.1663
1848,1.088
1849,0.06968
1850,0.07541
1851,0.1969
1852,0.1549
1853,0.238
1854,0.3436
1855,0.1362
1856,0.03403
1857,0.348
1858,0.02542
1859,0.8354
1860,0.07607
1861,0.375
1862,0.4074
1863,0.3891
1864,0.1813
1865,0.8861
1866,0.5444
1867,0.2018
1868,0.5685
1869,0.05224
1870,0.3329
1871,0.1252
1872,0.008481
1873,0.1583
1874,0.1674
1875,1.265
1876,0.3913
1877,0.02206
1878,0.3708
1879,0.06926
1880,0.3586
1881,0.5587
1882,0.4377
1883,0.3805
1884,0.4087
1885,0.2094
1886,0.4313
1887,0.09258
1888,0.2533
1889,0.1318
1890,0.6335
1891,0.3018
1892,0.7457
1893,0.1335
1894,0.9345
1895,1.098
1896,0.4607
1897,0.2503
1898,0.7886
1899,0.1982
1900,0.6123
1901,0.5729
1902,0.8592
1903,1.23
1904,0.8129
1905,0.06346
1906,0.2026
1907,0.6007
1908,1.212
1909,0.343
1910,0.5168
1911,0.3725
