ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.00989162, 0.00773267, 0.00593564, 0.0285134
-0.0299025, 0.0265554, -0.0568325, -0.00326925
-0.0299025, 0.0265554, -0.0568325, -0.00326925
-0.0299025, 0.0265554, -0.0568325, -0.00326925
-0.0299025, 0.0265554, -0.0568325, -0.00326925
-0.0299025, 0.0265554, -0.0568325, -0.00326925
-0.0299025, 0.0265554, -0.0568325, -0.00326925
-0.0299025, 0.0265554, -0.0568325, -0.00326925
0.025694, 0.0438875, -0.0743894, -0.00561134
-0.00847699, -0.0074236, -0.0107706, -0.023163
-0.00847699, -0.0074236, -0.0107706, -0.023163
-0.0314815, 0.0113912, 0.0781084, 0.0113894
0.013647, 0.0894881, 0.0205513, -0.000871431
0.0014495, 0.034369, 0.0560319, -0.0299263
0.0014495, 0.034369, 0.0560319, -0.0299263
0.0014495, 0.034369, 0.0560319, -0.0299263
0.0014495, 0.034369, 0.0560319, -0.0299263
0.0118586, -0.0334601, 0.0739191, -0.00874615
0.0118586, -0.0334601, 0.0739191, -0.00874615
0.023095, -0.0256387, 0.0201156, -0.00544926
-0.0122087, -0.00070708, 0.0327457, -0.00270198
-0.0122087, -0.000707079, 0.0327457, -0.00270198
-0.0282503, 0.122434, -0.0490893, 0.0398919
0.0327001, 0.116748, -0.0663204, 0.0339848
-0.0418152, 0.0232672, -0.0319217, 0.00261069
-0.0492144, -0.00689679, -0.126715, -0.0229693
-0.0742484, 0.0423164, -0.146079, -0.0369774
-0.0100779, 0.00801517, -0.0855222, -0.0209198
-0.0394531, 0.0600286, 0.103569, -0.0103133
0.0130861, 0.0165956, 0.0451159, -0.0557788
-0.0756044, 0.0272165, -0.047461, -0.0670006
-0.0839369, 0.0804716, -0.112412, -0.0572918
-0.0839369, 0.0804716, -0.112412, -0.0572918
-0.0276596, 0.050993, -0.0537858, -0.0294954
0.0327392, 0.0361671, -0.124846, -0.0530756
0.0217795, 0.0248039, -0.134368, -0.0542163
0.0382551, 0.0621499, -0.15929, -0.0180112
0.111762, 0.028701, -0.0792343, -0.0427294
0.111762, 0.028701, -0.0792343, -0.0427294
0.0666161, 0.0080534, -0.039795, -0.0999756
0.035633, 0.0427732, -0.114956, -0.146255
0.035633, 0.0427732, -0.114956, -0.146255
0.099195, -0.0134171, 0.0489088, -0.18896
0.099195, -0.0134171, 0.0489088, -0.18896
0.0267329, 0.00791926, 0.0423675, -0.124909
0.03457, -0.060936, 0.0692064, -0.0197241
-0.0129221, 0.0191207, 0.0355647, 0.0203793
0.092305, 0.017802, -0.026529, -0.160835
-0.0424801, -0.0620126, -0.025379, -0.0546932
-0.10381, -0.12636, -0.105304, -0.0406723
-0.0880315, -0.128174, -0.0347345, -0.160098
-0.0619796, -0.110682, -0.0573714, -0.141775
-0.0814481, -0.102058, -0.0534082, 0.00446771
-0.0814481, -0.102058, -0.0534082, 0.00446771
-0.0814481, -0.102058, -0.0534082, 0.00446771
-0.0814481, -0.102058, -0.0534082, 0.00446771
-0.0814481, -0.102058, -0.0534082, 0.00446771
-0.0814481, -0.102058, -0.0534082, 0.00446771
-0.0814481, -0.102058, -0.0534082, 0.00446771
-0.0814481, -0.102058, -0.0534082, 0.00446771
-0.0814481, -0.102058, -0.0534082, 0.00446771
-0.0814481, -0.102058, -0.0534082, 0.00446771
-0.0674788, -0.159175, -0.0287274, 0.0066689
-0.105345, -0.0885139, -0.0821331, -0.0794579
-0.105345, -0.0885139, -0.0821331, -0.0794579
-0.105345, -0.0885139, -0.0821331, -0.0794579
-0.0500799, -0.177148, -0.055667, 0.00216166
-0.0656483, -0.133405, -0.07395, -0.0623447
-0.0978479, 0.0353101, 0.0288276, 0.0277482
-0.11729, -0.0318805, -0.0161974, -0.053546
-0.179976, -0.00749495, -0.00602327, -0.00438451
-0.170893, 0.069503, 0.0451155, 0.0237403
-0.0964474, 0.00640968, 0.0836682, 0.0960915
-0.17429, 0.0248796, 0.113204, 0.117336
-0.17429, 0.0248796, 0.113204, 0.117336
-0.17429, 0.0248796, 0.113204, 0.117336
-0.114225, 0.0119291, 0.149673, 0.0733058
-0.164813, 0.0551565, 0.0647236, 0.0142819
-0.164813, 0.0551565, 0.0647236, 0.0142819
-0.13036, 0.0486723, 0.117461, 0.00173879
