MDTU,abs_delta_S
1459,0.8176
1460,0.2209
1461,0.6015
1462,1.683
1463,2.388
1464,0.3755
1465,2.021
1466,1.634
1467,0.04241
1468,1.208
1469,1.026
1470,0.6455
1471,0.2192
1472,0.9715
1473,0.312
1474,0.5847
1475,1.894
1476,0.2277
1477,0.4359
1478,0.01368
1479,1.119
1480,1.421
1481,0.6496
1482,0.5398
1483,0.1403
1484,0.08829
1485,0.7238
1486,0.787
1487,0.1471
1488,1.233
1489,1.809
1490,1.734
1491,1.338
1492,0.2098
1493,0.9907
1494,1.345
1495,0.3131
1496,0.4542
1497,0.6511
1498,1.329
1499,0.3697
1500,1.406
1501,0.06324
1502,0.4507
1503,1.238
1504,1.783
1505,2.447
1506,1.296
1507,1.062
1508,1.386
1509,1.247
1510,1.736
1511,1.632
1512,1.868
1513,0.3065
1514,1.732
1515,3.467
1516,1.881
1517,1.224
1518,0.6706
1519,0.9466
1520,0.1154
1521,0.9515
1522,0.3764
1523,1.5
1524,0.886
1525,0.5682
1526,0.1151
1527,1.608
1528,0.2523
1529,0.5138
1530,1.445
1531,0.3207
1532,1.366
1533,1.224
1534,0.03573
1535,0.4169
1536,1.171
1537,0.3636
1538,0.3784
1539,0.07239
1540,0.1006
1541,0.2221
1542,0.6224
1543,0.07675
1544,1.217
1545,0.1699
1546,1.467
1547,1.331
1548,1.34
1549,0.556
1550,0.6998
1551,1.827
1552,0.2738
1553,0.3759
1554,0.317
1555,0.4969
1556,0.2849
1557,1.008
1558,0.457
1559,0.4222
1560,0.3606
1561,0.195
1562,2.184
1563,1.482
1564,0.7831
1565,1.062
1566,0.5616
1567,0.385
1568,0.3405
1569,1.24
1570,0.1386
1571,0.6841
1572,0.02802
1573,0.9884
1574,1.23
1575,0.8816
1576,0.8007
1577,1.498
1578,0.5476
1579,1.888
1580,0.5563
1581,0.3324
1582,1.307
1583,2.208
1584,2.09
1585,1.98
1586,2.622
1587,1.824
1588,1.915
1589,1.8
1590,2.846
1591,1.031
1592,0.2249
1593,0.7254
1594,0.1556
1595,0.02986
1596,2.512
1597,0.7655
1598,0.0964
1599,0.5116
1600,0.1778
1601,1.908
1602,0.9937
1603,1.506
1604,2.77
1605,0.432
1606,0.5265
1607,0.4623
1608,0.5698
1609,0.7411
1610,1.069
1611,0.6838
1612,1.224
1613,0.8469
1614,1.037
1615,0.8535
1616,0.6489
1617,0.853
1618,1.333
1619,1.235
1620,0.3108
1621,0.5323
1622,0.4644
1623,1.074
1624,0.2478
1625,0.6471
1626,0.288
1627,1.417
1628,2.61
1629,1.5
1630,0.2217
1631,0.1449
1632,0.3306
1633,1.025
1634,0.6228
1635,1.271
1636,0.5085
1637,0.7343
1638,1.026
1639,0.5155
1640,0.6641
1641,1.101
1642,0.3726
1643,0.0816
1644,0.08711
1645,0.7444
1646,1.195
1647,1.493
1648,2.299
1649,0.6538
1650,0.1094
1651,0.8773
1652,0.6049
1653,0.456
1654,0.2631
1655,0.5504
1656,0.784
1657,0.3702
1658,0.4193
1659,0.6061
1660,1.571
1661,0.5881
1662,0.9095
1663,1.496
1664,1.264
1665,0.5954
1666,0.08053
1667,0.195
1668,0.6276
1669,0.6278
1670,1.251
1671,0.9723
1672,0.04939
1673,0.2794
1674,0.5548
1675,1.993
1676,0.7605
1677,0.6274
1678,0.6921
1679,0.2375
1680,0.666
1681,0.02209
1682,0.6079
1683,0.7668
1684,0.7651
1685,0.7505
1686,0.7712
1687,0.5883
1688,0.5216
1689,0.2072
1690,0.5403
1691,0.8008
1692,0.9682
1693,1.467
1694,1.042
1695,1.056
1696,0.07818
1697,0.1174
1698,0.083
1699,1.089
1700,0.2658
1701,0.607
1702,0.06857
1703,0.3382
1704,0.7258
1705,1.146
1706,0.659
1707,0.236
1708,0.03368
1709,1.587
1710,0.5426
1711,1.637
1712,1.564
1713,0.8468
1714,0.4722
1715,0.7791
1716,0.9383
1717,0.9428
1718,0.7714
1719,0.4169
1720,1.646
1721,1.208
1722,0.8827
1723,1.182
1724,0.2679
1725,1.789
1726,0.3333
1727,0.1298
1728,0.1148
1729,1.327
1730,0.4115
1731,0.3759
1732,0.2685
1733,1.32
1734,1.287
1735,0.007475
1736,2.296
1737,0.77
1738,1.444
1739,1.459
1740,1.18
1741,0.8868
1742,0.3845
1743,2.033
1744,2.466
1745,0.3278
1746,0.02535
1747,1.173
1748,0.03412
1749,0.1461
1750,1.516
1751,1.914
1752,2.017
1753,2.093
1754,1.601
1755,1.607
1756,0.6714
1757,0.2153
1758,0.5816
1759,1.485
1760,0.2708
1761,0.3993
1762,1.317
1763,1.584
1764,2.282
1765,1.892
1766,0.2619
1767,0.2928
1768,0.7798
1769,0.5562
1770,0.003579
1771,1.102
1772,0.4572
1773,1.62
1774,0.9261
1775,1.707
1776,0.7131
1777,0.6994
1778,1.002
1779,0.2466
1780,0.1903
1781,1.627
1782,0.5344
1783,0.6861
1784,0.354
1785,0.9114
1786,1.473
1787,0.1829
1788,0.9866
1789,2.298
1790,1.039
1791,1.477
1792,2.372
1793,2.369
1794,2.29
1795,2.471
1796,2.686
1797,2.148
1798,2.78
1799,2.85
1800,0.9485
1801,1.569
1802,0.01189
1803,0.841
1804,1.811
1805,0.9041
1806,0.6648
1807,0.3863
1808,1.571
1809,1.247
1810,0.9872
1811,0.4639
1812,2.411
1813,1.04
1814,1.622
1815,0.3034
1816,0.1833
1817,1.111
1818,1.057
1819,1.407
1820,2.316
1821,0.4737
1822,0.4415
1823,0.3583
1824,0.8017
1825,0.4777
1826,1.384
1827,0.1667
1828,1.157
1829,0.1568
1830,0.242
1831,0.8206
1832,0.03793
1833,0.788
1834,1.428
1835,0.5385
1836,0.9357
1837,0.7266
1838,0.8201
1839,0.8797
1840,0.4566
1841,0.2498
1842,0.275
1843,0.5936
1844,0.01225
1845,1.097
1846,1.198
1847,0.7792
1848,0.6408
1849,0.3676
1850,0.2001
1851,0.2627
1852,1.322
1853,0.8831
1854,0.1529
1855,0.7376
1856,1.827
1857,1.169
1858,1.305
1859,1.133
1860,0.2483
1861,0.04557
1862,0.3292
1863,0.5852
1864,2.033
1865,1.971
1866,0.5853
1867,0.4697
1868,1.681
1869,2.014
1870,1.87
1871,0.3205
1872,1.548
1873,0.9538
1874,0.04085
1875,0.6212
1876,0.8757
1877,0.3479
1878,1.505
1879,0.2944
1880,0.8871
1881,1.573
1882,1.601
1883,0.428
1884,0.6531
1885,1.82
1886,0.9734
1887,0.1141
1888,1.473
1889,0.9811
1890,0.1349
1891,1.443
1892,0.6496
1893,1.523
1894,0.02547
1895,1.192
1896,0.1916
1897,1.047
1898,1.454
1899,0.7328
1900,0.4402
1901,0.206
1902,0.9687
1903,0.2288
1904,0.1413
1905,2.036
1906,3.511
1907,0.3633
1908,0.6083
1909,1.268
1910,0.4835
1911,1.797
1912,0.2701
1913,0.351
1914,0.01744
1915,0.2453
1916,0.5713
1917,0.2602
1918,0.722
1919,2.139
1920,1.644
1921,0.3497
1922,0.4213
1923,0.1476
1924,1.436
1925,0.3646
1926,1.731
1927,0.2458
1928,1.21
1929,0.9517
1930,0.9574
1931,1.127
1932,0.5325
1933,0.6516
1934,0.2853
1935,0.1162
1936,0.1305
1937,0.6198
1938,1.156
1939,0.3325
1940,1.144
1941,0.3965
1942,1.032
1943,1.355
1944,0.9153
1945,0.3395
1946,0.4642
1947,0.4652
1948,0.633
1949,1.292
1950,1.99
1951,0.4961
1952,0.1673
1953,0.6542
1954,1.235
1955,0.4137
1956,0.1647
1957,0.05462
1958,0.5621
1959,0.4444
1960,1.755
1961,0.855
1962,1.04
1963,1.079
1964,1.85
1965,2.163
1966,1.608
1967,0.7629
1968,1.775
1969,2.556
1970,2.379
1971,1.863
1972,2.003
1973,0.8463
1974,1.345
1975,2.304
1976,1.119
1977,0.9159
1978,0.157
1979,1.038
1980,1.167
1981,1.774
1982,2.242
