T,G,F
1039,0.0106,0.02242
1040,0.0106,0.02239
1041,0.01062,0.02242
1042,0.01061,0.02244
1043,0.0106,0.02238
1044,0.0106,0.02245
1045,0.01059,0.02239
1046,0.01059,0.02241
1047,0.0106,0.02241
1048,0.0106,0.02242
1049,0.01059,0.02239
1050,0.01059,0.02241
1051,0.01059,0.02243
1052,0.01061,0.02243
1053,0.01061,0.02244
1054,0.01059,0.02246
1055,0.01058,0.02243
1056,0.01058,0.02242
1057,0.0106,0.02239
1058,0.01059,0.02243
1059,0.01058,0.02238
1060,0.01059,0.02244
1061,0.0106,0.02241
1062,0.0106,0.02239
1063,0.0106,0.0224
1064,0.01061,0.02245
1065,0.01059,0.02244
1066,0.01059,0.02239
1067,0.0106,0.0224
1068,0.01058,0.02243
1069,0.01058,0.0224
1070,0.0106,0.02247
1071,0.0106,0.02243
1072,0.01059,0.02239
1073,0.01058,0.02243
1074,0.01058,0.02242
1075,0.01059,0.02246
1076,0.01058,0.02245
1077,0.01059,0.02245
1078,0.01059,0.02243
1079,0.0106,0.02246
1080,0.01059,0.02243
1081,0.01059,0.02247
1082,0.0106,0.02247
1083,0.0106,0.02241
1084,0.01059,0.02247
1085,0.01059,0.02245
1086,0.01059,0.02245
1087,0.0106,0.02247
1088,0.0106,0.02249
1089,0.0106,0.02244
1090,0.0106,0.02246
1091,0.0106,0.02247
1092,0.01059,0.0225
1093,0.0106,0.02245
1094,0.0106,0.02252
1095,0.0106,0.02255
1096,0.01061,0.02248
1097,0.0106,0.02248
1098,0.01061,0.02245
1099,0.01059,0.02245
1100,0.01059,0.02249
1101,0.01059,0.02246
1102,0.0106,0.02248
1103,0.01061,0.02246
1104,0.0106,0.02245
1105,0.01061,0.02248
1106,0.01059,0.02241
1107,0.0106,0.02242
1108,0.01058,0.02245
1109,0.01057,0.02243
1110,0.0106,0.02249
1111,0.01058,0.02248
1112,0.01058,0.02247
1113,0.01058,0.02248
1114,0.01058,0.02247
1115,0.01057,0.02244
1116,0.0106,0.02249
1117,0.01059,0.02248
1118,0.01057,0.02245
1119,0.01057,0.02245
1120,0.01058,0.02247
1121,0.01058,0.02248
1122,0.01057,0.02249
1123,0.01058,0.02247
1124,0.01058,0.02243
1125,0.01058,0.02251
1126,0.01057,0.02245
1127,0.01057,0.02249
1128,0.01057,0.02248
1129,0.01058,0.02249
1130,0.01058,0.02242
1131,0.01059,0.02246
1132,0.01058,0.02248
1133,0.01059,0.02248
1134,0.01059,0.02242
1135,0.01059,0.02251
1136,0.01058,0.02248
1137,0.01058,0.02247
1138,0.01057,0.02249
1139,0.01057,0.02254
1140,0.01059,0.02246
1141,0.01057,0.02249
1142,0.01057,0.02252
1143,0.01058,0.02251
1144,0.01058,0.02251
1145,0.01058,0.02248
1146,0.01059,0.02246
1147,0.01059,0.02244
1148,0.01059,0.02243
1149,0.0106,0.02253
1150,0.0106,0.0224
1151,0.0106,0.02245
