MDTU ,delta_S
1173,0.5167
1174,-0.2877
1175,-1.067
1176,0.9787
1177,-0.3534
1178,0.03322
1179,-0.1663
1180,0.2068
1181,0.4054
1182,-0.3997
1183,-0.1997
1184,0.6131
1185,0.2794
1186,0.3697
1187,-0.1405
1188,0.2534
1189,-0.01195
1190,0.1125
1191,-0.3155
1192,0.201
1193,-1.129
1194,0.5322
1195,-0.07986
1196,0.7706
1197,0.1037
1198,-0.07283
1199,-0.2125
1200,0.4481
1201,0.0898
1202,-0.1135
1203,0.1015
1204,0.2998
1205,0.1726
1206,0.005794
1207,-0.003893
1208,0.03507
1209,-0.2623
1210,0.1228
1211,0.6087
1212,0.1202
1213,0.7049
1214,-0.1842
1215,-0.1185
1216,0.5579
1217,0.1332
1218,0.899
1219,0.891
1220,-0.1736
1221,-0.04818
1222,0.5034
1223,0.0006091
1224,-0.1944
1225,0.3062
1226,-0.2605
1227,0.6452
1228,-0.1036
1229,0.1465
1230,0.1366
1231,-0.4641
1232,0.3904
1233,0.1039
1234,0.5019
1235,-0.2077
1236,-1.053
1237,0.2978
1238,-0.4463
1239,-0.4118
1240,0.8451
