MDTU,min_width,max_width
620,0.173829,0.103121
621,0.1703,0.103148
622,0.17404,0.10298
623,0.174177,0.101746
624,0.170822,0.101002
625,0.171323,0.103114
626,0.171323,0.103114
627,0.168272,0.102744
628,0.168314,0.10187
629,0.171086,0.102441
630,0.172105,0.101338
631,0.16746,0.10031
632,0.168532,0.103457
633,0.165433,0.102342
634,0.163619,0.101887
635,0.168388,0.103405
636,0.168858,0.101617
637,0.167427,0.101868
638,0.166934,0.100958
639,0.171595,0.102142
640,0.168985,0.100779
641,0.169329,0.101393
642,0.168018,0.101637
643,0.166791,0.102552
644,0.169083,0.101998
645,0.167158,0.102002
646,0.166955,0.102548
647,0.170254,0.10231
648,0.168519,0.102844
649,0.168201,0.101816
650,0.166406,0.102612
651,0.164817,0.10268
652,0.162221,0.100246
653,0.163746,0.100997
654,0.163849,0.101405
655,0.162036,0.100768
656,0.166811,0.101997
657,0.166413,0.10159
658,0.166899,0.102914
659,0.168027,0.102409
660,0.166582,0.10382
661,0.166385,0.100788
662,0.164772,0.102125
663,0.161999,0.102213
664,0.169737,0.10424
665,0.165013,0.103682
666,0.163822,0.103204
667,0.164292,0.103763
668,0.164292,0.103763
669,0.166695,0.102948
670,0.167411,0.103918
671,0.165088,0.101154
672,0.162117,0.103414
673,0.162093,0.101858
674,0.169968,0.103395
675,0.165235,0.102218
676,0.166593,0.10305
677,0.162588,0.101453
678,0.162588,0.101453
679,0.166916,0.103148
680,0.166941,0.102983
681,0.164985,0.10569
682,0.166595,0.102741
683,0.169551,0.104416
684,0.170642,0.103771
685,0.1656,0.104905
686,0.166912,0.10569
687,0.166912,0.10569
688,0.171246,0.105682
689,0.170128,0.102509
690,0.172017,0.102829
691,0.172017,0.102829
692,0.164999,0.102474
693,0.167052,0.101985
694,0.164887,0.102929
695,0.170676,0.103037
696,0.168771,0.103695
697,0.171285,0.103117
698,0.166804,0.100998
699,0.166195,0.099878
700,0.167638,0.10202
701,0.164482,0.100517
702,0.169195,0.101897
703,0.169776,0.102539
704,0.170122,0.102114
705,0.168795,0.103204
706,0.164959,0.102646
707,0.171499,0.103008
708,0.168324,0.102354
709,0.167937,0.101594
710,0.168306,0.10132
711,0.167709,0.102713
712,0.16955,0.102843
713,0.163377,0.100766
714,0.168803,0.100765
715,0.167453,0.102541
716,0.163834,0.100276
717,0.166029,0.101575
718,0.164617,0.102226
719,0.164169,0.100985
720,0.166415,0.102953
721,0.166669,0.104178
722,0.16703,0.103479
723,0.164653,0.102333
724,0.163602,0.101177
725,0.162241,0.101549
726,0.164545,0.102326
727,0.165651,0.10152
728,0.166587,0.101586
729,0.161639,0.101489
730,0.165063,0.102846
731,0.161825,0.100481
732,0.167334,0.105372
733,0.17315,0.104516
734,0.167597,0.103034
735,0.171819,0.102832
736,0.166156,0.103272
737,0.168661,0.103688
738,0.16461,0.100468
739,0.166859,0.100989
740,0.162149,0.100471
741,0.163933,0.101975
742,0.15963,0.101651
743,0.165878,0.102762
744,0.162285,0.101152
745,0.167745,0.104081
746,0.165576,0.102353
747,0.16486,0.104206
748,0.168463,0.10327
749,0.165674,0.103126
750,0.167104,0.10212
751,0.162101,0.100008
752,0.1676,0.101387
753,0.164927,0.0994354
754,0.167016,0.10115
755,0.167658,0.103414
756,0.168053,0.103303
757,0.166768,0.104112
758,0.164285,0.101696
759,0.164285,0.101696
