MDTU,S_B
1060,0.997654
1061,0.998873
1062,1.00293
1063,0.996527
1064,0.996527
1065,0.995295
1066,0.995288
1067,0.995957
1068,1.00048
1069,1.00552
1070,0.995673
1071,0.995673
1072,0.998252
1073,0.996534
1074,0.989223
1075,0.996133
1076,0.993667
1077,1.00102
1078,1.00047
1079,1.00083
1080,0.997501
1081,0.998431
1082,0.995284
1083,1.00104
1084,0.99256
1085,1.00247
1086,1.00036
1087,0.999211
1088,1.00202
1089,0.985567
1090,0.991709
1091,1.00076
1092,1.0013
1093,1.00323
1094,1.00735
1095,1.00573
1096,1.00477
1097,0.997472
1098,1.00472
1099,1.00337
1100,1.00337
1101,0.991567
1102,0.999696
1103,1.00041
1104,1.00348
1105,1.00695
1106,1.00176
1107,1.00126
1108,0.991812
1109,0.997606
1110,1.00352
1111,1.00174
1112,1.0055
1113,1.0075
1114,1.00116
1115,0.997536
1116,0.99739
1117,0.99451
1118,1.00077
1119,0.994496
1120,0.999323
1121,0.992608
1122,0.994725
1123,0.996938
1124,0.996756
1125,1.00101
1126,1.00417
1127,1.00116
1128,1.00334
1129,1.00162
1130,0.999074
1131,0.999074
1132,0.999019
1133,0.99689
1134,0.993841
1135,0.984972
1136,0.995215
1137,1.00549
1138,0.999636
1139,0.996867
1140,1.00129
1141,1.00129
1142,1.00091
1143,0.992183
1144,0.991397
1145,0.992698
1146,0.996413
1147,1.00073
1148,0.991544
1149,1.00239
1150,0.996141
1151,0.993572
1152,0.998208
1153,1.00292
1154,1.0014
1155,0.999181
1156,0.998109
1157,1.00035
1158,0.99819
1159,1.00005
1160,0.991937
1161,0.996819
1162,0.998821
1163,0.998924
1164,1.00241
1165,0.994194
1166,1.00145
1167,1.00548
1168,1.00022
1169,0.999439
1170,0.996138
1171,0.991551
1172,1.00002
1173,0.992344
1174,1.00187
1175,0.986808
1176,0.995503
1177,0.992256
1178,0.992548
1179,0.991533
1180,0.986701
1181,0.987864
1182,0.995018
1183,0.998779
1184,1.00087
1185,0.998084
1186,0.999734
1187,0.996605
1188,0.995036
1189,0.997139
1190,1.00306
1191,1.00328
1192,1.00003
1193,1.00487
1194,1
1195,0.993008
1196,0.995278
1197,0.996401
1198,1.00212
1199,0.988106
1200,0.998121
1201,0.999246
1202,0.997883
1203,0.998055
1204,0.990113
1205,0.999015
1206,0.994459
1207,1.00085
1208,0.999021
1209,0.99414
1210,0.998224
1211,0.998224
1212,0.991957
1213,0.99613
1214,0.992538
1215,1.00051
1216,0.994138
1217,1.00273
1218,0.998571
1219,0.999883
1220,0.991554
1221,0.997294
1222,0.992227
1223,0.991706
1224,1.00114
1225,0.993203
1226,1.0014
1227,0.997643
1228,0.99873
1229,0.994271
1230,0.999294
1231,1.0055
1232,0.997092
1233,0.999172
1234,1.00192
1235,1.00444
1236,1.00586
1237,0.998347
1238,1.00341
1239,1.00297
1240,1.00602
1241,0.994599
1242,0.995282
1243,0.993767
1244,1.0021
1245,0.996522
1246,0.999724
1247,0.998284
1248,1.00791
1249,0.999998
1250,1.0037
1251,1.00023
1252,1.00222
1253,0.995013
1254,0.99634
1255,1.00019
1256,0.993478
1257,0.996287
1258,0.996287
1259,0.996881
1260,0.998991
1261,0.995761
1262,0.995761
1263,0.994155
1264,1.00155
1265,0.999784
1266,0.993885
1267,0.993885
1268,0.994561
1269,0.995528
1270,1.00253
1271,1.00358
1272,0.999612
1273,1.00048
1274,0.998966
1275,1.00047
1276,0.995351
1277,0.99674
1278,0.998342
1279,0.999448
1280,0.999115
1281,0.999076
1282,1.00327
1283,0.997304
1284,0.998126
1285,1.00176
1286,0.999845
1287,1.00235
1288,0.993381
1289,1.00292
1290,0.99513
1291,0.993418
1292,0.995458
1293,0.997393
1294,0.987764
1295,0.996371
1296,0.986543
1297,0.992676
1298,0.989164
1299,0.998508
1300,0.998161
1301,0.994527
1302,0.999198
1303,0.996324
1304,1.00021
1305,0.997282
1306,0.997282
1307,0.991138
1308,0.995359
1309,0.993832
1310,1.00107
1311,1.00058
1312,0.997731
1313,1.00097
1314,1.00354
1315,1.00262
1316,1.00356
1317,1.00129
1318,1.00101
1319,0.999848
1320,0.994115
1321,1.00016
1322,0.993598
1323,1.00446
1324,0.996842
1325,0.997747
1326,1.00241
1327,0.999996
1328,0.999996
1329,1.00014
1330,0.990249
1331,0.993649
1332,0.997941
1333,0.989634
1334,0.996021
1335,1.00412
1336,0.987932
1337,1.00085
1338,0.995109
1339,0.99676
1340,0.997567
1341,0.991341
1342,1.00005
1343,1.01883
1344,1.00187
1345,1.00478
1346,1.00583
1347,1.0012
1348,1.00298
1349,1.00438
1350,0.994749
1351,0.999127
1352,1.0016
1353,0.999533
1354,0.996715
1355,0.997225
1356,0.995601
1357,0.998484
1358,0.993156
1359,1.00062
1360,0.994112
1361,0.996497
1362,0.994065
1363,1.00168
1364,1.0033
1365,1.00179
1366,0.994893
1367,0.999926
1368,1.00159
1369,0.996118
1370,0.996118
1371,0.997613
1372,0.993462
1373,0.996658
1374,1.00137
1375,0.993173
1376,1.00686
1377,1.00025
1378,1.00091
1379,0.999599
1380,0.993793
1381,0.99569
1382,0.98883
1383,0.993367
1384,0.994949
1385,0.994115
1386,0.999014
1387,0.993387
1388,0.993869
1389,0.994386
1390,0.999327
1391,0.994827
1392,0.998062
1393,1.00094
1394,0.9983
1395,0.99488
1396,0.995844
1397,1.00086
1398,0.997835
1399,0.99859
1400,0.989152
1401,0.989007
1402,0.993453
1403,0.993453
1404,0.997181
1405,0.996678
1406,1.00377
1407,0.995185
1408,0.998019
1409,0.993428
1410,1.00243
1411,0.992012
1412,0.9881
1413,0.987519
1414,1.00102
1415,1.00037
1416,0.988048
1417,0.992991
1418,0.982979
1419,0.992656
1420,0.991638
1421,0.997274
1422,0.994357
1423,0.991971
1424,1.00179
1425,1.00179
1426,0.989423
1427,0.992878
1428,1.00112
1429,0.992772
1430,1.00106
1431,1.00106
1432,0.988631
1433,0.996164
1434,0.989815
1435,0.996965
1436,0.994841
1437,0.998602
1438,0.99819
1439,0.994969
1440,0.999593
1441,1.00855
1442,1.00196
1443,0.994738
1444,0.996297
1445,0.999309
1446,0.996351
1447,0.997734
1448,0.996949
1449,1.00701
1450,0.99314
1451,0.99703
1452,0.99739
1453,0.994907
1454,0.999916
1455,0.993847
1456,0.987762
1457,0.993895
1458,1.00082
1459,1.00082
1460,1.00826
1461,1.00082
1462,1.00082
1463,0.992386
1464,0.997166
1465,0.994017
1466,0.996072
1467,0.99686
1468,0.996336
1469,1.00324
1470,0.994085
1471,0.99183
1472,0.990814
1473,0.992398
1474,0.990953
1475,0.994644
1476,0.997809
1477,0.993869
1478,0.99745
1479,0.996285
1480,0.992655
1481,0.992531
1482,0.996331
1483,1.00651
1484,1.00709
1485,1.00075
1486,1.00018
1487,1.00488
1488,0.998163
1489,0.998163
1490,1.00403
1491,0.994964
1492,0.990994
1493,0.991118
1494,0.989672
1495,0.9982
1496,0.988502
1497,0.995245
1498,0.995245
1499,0.992515
1500,0.990328
1501,0.997164
1502,0.990524
1503,0.997637
1504,0.990301
1505,1.00066
1506,0.994469
1507,0.994577
1508,0.995862
1509,0.996013
1510,0.99457
1511,0.993576
1512,0.996937
1513,0.993776
1514,0.994576
1515,0.99592
1516,0.998911
