t,|deltaS|
1835,0.05308
1836,0.1177
1837,0.06695
1838,0.0512
1839,0.3157
1840,0.01709
1841,0.1409
1842,0.1787
1843,0.04976
1844,0.2341
1845,0.08264
1846,0.1587
1847,0.01816
1848,0.1948
1849,0.232
1850,0.01714
1851,0.02298
1852,0.1832
1853,0.1052
1854,0.02822
1855,0.4022
1856,0.3026
1857,0.005565
1858,0.06034
1859,0.227
1860,0.2504
1861,0.2257
1862,0.1161
1863,0.201
1864,0.07878
1865,0.2914
1866,0.02631
1867,0.1789
1868,0.07488
1869,0.09475
1870,0.1481
1871,0.103
1872,0.06844
1873,0.007642
1874,0.2149
1875,0.247
1876,0.1074
1877,0.09582
1878,0.08267
1879,0.01967
1880,0.09774
