MDTU,plaq_ss,plaq_st
881,1.03486,1.01557
882,1.03413,1.01092
883,1.02059,1.01555
884,0.999453,1.04253
885,1.01886,1.0448
886,1.01329,1.01607
887,1.02079,1.03108
888,1.00293,1.03284
889,1.03043,1.02015
890,1.01784,1.0303
891,1.03963,1.01924
892,1.02995,1.03124
893,1.02715,1.02301
894,1.02927,1.03291
895,1.0137,1.02677
896,1.0137,1.02677
897,1.02585,1.03058
898,1.03787,1.03455
899,1.01908,1.01406
900,1.03232,1.01965
901,1.04835,1.02392
902,1.0112,1.02198
903,1.04074,1.0179
904,1.01468,1.02746
905,1.06067,1.03026
906,1.03317,1.02234
907,1.02388,1.02781
908,1.05385,1.02187
909,1.03588,1.02169
910,1.05268,1.00663
911,1.03775,1.00913
912,1.04437,1.02406
913,1.01777,1.02082
914,1.00475,1.03223
915,1.03394,1.01395
916,1.02021,1.0186
917,1.01355,1.02146
918,1.01876,1.00884
919,1.00352,1.01354
920,1.00893,1.02273
921,1.01386,1.0132
922,1.0001,1.01794
923,1.01134,1.02573
924,0.9966,1.03019
925,1.00618,1.02346
926,1.00156,1.0134
927,1.01398,1.02143
928,1.01664,1.01461
929,1.02908,1.01724
930,1.02389,1.01187
931,1.01324,1.00836
932,1.02728,1.0144
933,1.01897,1.01142
934,1.02626,1.02192
935,1.02394,1.01298
936,1.04584,1.02449
937,1.02112,1.01179
938,1.03595,1.02624
939,1.00361,1.01647
940,1.01705,1.03179
941,1.02016,1.02263
942,1.00485,1.02964
943,1.02622,1.01591
944,1.01075,1.02262
945,1.02407,1.01792
946,1.01896,1.02039
947,0.99806,1.01337
948,1.00818,1.01597
949,1.02691,1.02704
950,0.996403,1.02309
951,1.02566,1.02175
952,1.02652,1.01002
953,1.03366,1.00652
954,1.0422,1.01289
955,1.05288,1.00778
956,1.0434,1.00369
957,1.02387,1.01003
958,1.0487,1.00908
959,1.01449,1.01021
960,1.03928,1.0215
961,1.04549,1.00911
962,1.02408,1.01007
963,1.02737,1.01272
964,1.03272,1.02684
965,1.00617,1.0253
966,1.02335,1.02477
967,1.01772,1.0217
968,0.998918,1.02255
969,1.01138,1.00456
970,1.04174,1.01785
971,1.01472,1.01919
972,1.00598,1.01298
973,1.01314,1.02283
974,1.01165,1.01417
975,1.02996,1.00913
976,1.02055,1.01878
977,1.00365,1.01629
