t,G,F1,F2,F3
793,0.001471,0.004002,null,null
794,0.001473,0.004018,null,null
795,0.001467,0.003997,null,null
796,0.00147,0.003989,null,null
797,0.00147,0.003996,null,null
798,0.001478,0.004002,null,null
799,0.00147,0.003992,null,null
800,0.001468,0.003989,null,null
801,0.001471,0.003978,null,null
802,0.001482,0.003979,null,null
803,0.001475,0.004006,null,null
804,0.001473,0.004019,null,null
805,0.001479,0.00401,null,null
806,0.001468,0.003982,null,null
807,0.001467,0.004008,null,null
808,0.00147,0.003991,null,null
809,0.001468,0.003991,null,null
810,0.00147,0.004004,null,null
811,0.001466,0.003987,null,null
812,0.001469,0.004016,null,null
813,0.001472,0.004002,null,null
814,0.001476,0.004024,null,null
815,0.001468,0.004006,null,null
816,0.001468,0.003997,null,null
817,0.001475,0.004025,null,null
818,0.001468,0.004003,null,null
819,0.001465,0.00401,null,null
820,0.001466,0.003996,null,null
821,0.001471,0.004002,null,null
822,0.001472,0.004005,null,null
823,0.001476,0.004022,null,null
824,0.001471,0.003998,null,null
825,0.001474,0.004015,null,null
826,0.001471,0.004007,null,null
827,0.001472,0.003998,null,null
828,0.001469,0.004012,null,null
829,0.001468,0.004007,null,null
830,0.001466,0.003995,null,null
831,0.001467,0.003977,null,null
832,0.001469,0.004022,null,null
833,0.001466,0.003998,null,null
834,0.001467,0.003988,null,null
835,0.001472,0.003997,null,null
836,0.001474,0.004,null,null
837,0.001472,0.003992,null,null
838,0.001473,0.004013,null,null
839,0.001471,0.004013,null,null
840,0.001471,0.004017,null,null
841,0.001473,0.003987,null,null
842,0.001471,0.00398,null,null
843,0.001469,0.004002,null,null
844,0.001467,0.003989,null,null
845,0.001465,0.003993,null,null
846,0.001468,0.004013,null,null
847,0.001471,0.003992,null,null
848,0.00147,0.004008,null,null
849,0.001472,0.004001,null,null
850,0.001468,0.004003,null,null
851,0.001469,0.003999,null,null
852,0.001468,0.003999,null,null
853,0.001471,0.004003,null,null
854,0.001478,0.004033,null,null
855,0.001474,0.004008,null,null
856,0.00147,0.003991,null,null
857,0.001473,0.004011,null,null
858,0.001465,0.003998,null,null
859,0.001473,0.004011,null,null
860,0.001469,0.003992,null,null
861,0.001469,0.003988,null,null
862,0.001464,0.003992,null,null
863,0.001466,0.004012,null,null
864,0.001466,0.004,null,null
865,0.001465,0.003995,null,null
866,0.001467,0.004005,null,null
867,0.001465,0.004006,null,null
868,0.00147,0.004013,null,null
