MDTU,S_F
1391,0.997881
1392,0.999337
1393,0.997793
1394,1.00003
1395,1.00061
1396,1.00193
1397,1.00491
1398,0.998672
1399,0.996558
1400,0.999843
1401,1.00131
1402,1.00244
1403,0.995491
1404,0.995783
1405,0.996947
1406,0.999324
1407,1.00167
1408,1.00256
1409,0.999396
1410,1.00054
1411,0.999539
1412,1.00579
1413,0.9949
1414,1.00068
1415,0.997935
1416,0.999334
1417,1.00485
1418,1.00394
1419,0.999965
1420,0.997961
1421,1.00039
1422,0.997138
1423,0.998489
1424,0.999447
1425,0.99963
1426,0.995488
1427,0.999445
1428,1.00249
1429,0.99911
1430,1.00099
1431,0.998059
1432,0.998977
1433,0.995929
1434,1.0011
1435,1.00202
1436,1.00355
1437,1.00406
1438,1.00666
1439,1.00178
1440,1.0011
1441,1.00145
1442,0.999391
1443,0.998857
1444,1.00412
1445,1.0003
1446,1.0039
1447,1.00322
1448,1.0006
1449,1.00144
1450,1.00188
1451,1.00235
1452,1.00171
1453,0.997839
1454,0.994429
1455,0.999803
1456,1.00074
1457,1.00104
1458,0.997954
1459,0.994734
1460,1.0032
1461,1.00056
1462,1.00236
1463,0.997354
1464,1.00157
1465,0.99971
1466,0.999157
1467,0.997661
1468,0.99623
1469,1.00185
1470,1.00131
1471,1.00213
1472,0.997758
1473,0.997954
1474,0.998272
1475,1.00255
1476,0.999437
1477,1.00059
1478,1.00144
1479,0.999409
1480,1.00298
1481,1.00288
1482,0.99979
1483,1.00247
1484,0.999754
1485,1.00243
1486,0.998257
1487,0.999017
1488,1.00044
1489,0.995556
1490,1.00357
1491,1.00051
1492,1.00145
1493,0.998268
1494,1.00058
1495,0.995657
1496,1.00003
1497,0.997205
1498,1.00012
1499,1.00204
1500,0.994297
1501,1.00405
1502,0.993342
1503,1.00019
1504,0.999665
1505,0.998804
1506,0.996649
1507,1.00106
1508,1.00102
1509,0.998929
1510,1.00027
1511,1.00231
1512,1.00035
1513,0.995799
1514,1.00265
1515,1.00125
1516,1.00149
1517,1.00214
1518,1.00571
1519,0.999665
1520,0.997981
1521,0.999173
1522,0.999294
1523,0.999681
1524,0.99967
1525,0.999936
1526,1.00252
1527,1.00295
1528,1.00508
1529,1.00204
1530,1.00092
1531,0.998577
1532,0.996891
1533,1.00292
1534,0.999501
1535,0.996186
1536,1.00058
1537,0.999149
1538,0.998571
1539,1.00008
1540,0.998471
1541,0.999
1542,1.0014
1543,1.00433
1544,0.996982
1545,1.00245
1546,1.00036
1547,0.99766
1548,0.999077
1549,1.0023
1550,0.997868
1551,0.99797
1552,0.998443
1553,1.00316
1554,0.997188
1555,1.00131
1556,0.998486
1557,1.00059
1558,1.00101
1559,0.998674
1560,1.00151
1561,1.00085
1562,1.0013
1563,1.00099
1564,0.998501
1565,0.995505
1566,1.00062
1567,1.00001
1568,1.00238
1569,0.998788
1570,1.00161
1571,0.999558
1572,0.997751
1573,0.99782
1574,1.00129
1575,1.00372
1576,0.997527
1577,1.00183
1578,0.998115
1579,1.00154
1580,0.999547
1581,1.00214
1582,0.998176
1583,1.00291
1584,0.998281
1585,1.0023
1586,1.0006
1587,0.998778
1588,0.997207
1589,1.00304
1590,1.0029
1591,0.997414
1592,0.998244
1593,1.00113
1594,1.00228
1595,1.00484
1596,0.997253
1597,1.00092
1598,1.00032
1599,1.00389
1600,0.990323
1601,1.00284
1602,1.00413
1603,0.999786
1604,0.997515
1605,1.0025
1606,0.996984
1607,0.997089
1608,0.997038
1609,0.995721
1610,0.999429
1611,1.00373
1612,1.00401
1613,0.999167
1614,0.996332
1615,0.996551
1616,0.99609
1617,0.997761
1618,1.00053
1619,0.993289
1620,0.997908
1621,0.997206
1622,1.00089
1623,0.997126
1624,1.00128
1625,1.00109
1626,0.999253
1627,0.999285
1628,1.00593
1629,0.999968
1630,1.00082
1631,1.00069
1632,1.00185
1633,0.997857
1634,1.0012
1635,0.997535
1636,1.0005
1637,0.995123
1638,1.00219
1639,1.00067
1640,0.995867
1641,1.00358
1642,0.998677
1643,1.00064
1644,1.00039
1645,1.0022
1646,1.0014
1647,0.998953
1648,0.997735
1649,1.00169
1650,1.00012
1651,1.0026
1652,0.997491
1653,1.00306
1654,0.999874
1655,0.9992
1656,0.994707
1657,1.00402
1658,1.00311
1659,0.99932
1660,1.00221
1661,0.998263
1662,1.00094
1663,1.00069
1664,0.999999
1665,1.00094
1666,0.999804
1667,0.997988
1668,1.00175
1669,1.00142
1670,0.997503
1671,0.999526
1672,0.999452
1673,0.998687
1674,0.998197
1675,1.00001
1676,1.00038
1677,0.997273
1678,0.998436
1679,0.994784
1680,1.00115
1681,0.998833
1682,0.997793
1683,1.00133
1684,1.00076
1685,1.00008
1686,0.995974
1687,0.999841
1688,1.00209
1689,1.00104
1690,1.00104
1691,1.00445
1692,1.00222
1693,0.994788
1694,0.999319
1695,0.9973
1696,0.995382
1697,0.998998
1698,1.00264
1699,1.00081
1700,0.992974
1701,1.00143
1702,0.999777
1703,1.00154
1704,1.00086
1705,0.997124
1706,1.00592
1707,0.999513
1708,1.00364
1709,1.00527
1710,1.00628
1711,1.00217
1712,1.00261
1713,0.995928
1714,0.998688
1715,1.00123
1716,1.00167
1717,0.998775
1718,0.999624
1719,1.00185
1720,0.998711
1721,1.0069
1722,0.99902
1723,0.999921
1724,0.998773
1725,1.00103
1726,0.999612
1727,1.00282
1728,1.00131
1729,1.00284
1730,1.00568
1731,1.00269
1732,1.00294
1733,1.00158
1734,1.00252
1735,0.999022
1736,0.999919
1737,0.997861
1738,1.00149
1739,1.00266
1740,1.00345
1741,0.996946
1742,0.996668
1743,1.00088
1744,0.996076
1745,1.00087
1746,1.00359
1747,0.999361
1748,0.999063
1749,0.999355
1750,1.00007
1751,0.997849
1752,1.00126
1753,1.00249
1754,1.00175
1755,1.00414
1756,0.994598
1757,0.999216
1758,1.00279
1759,0.999288
1760,1.00031
1761,0.997676
1762,1.00106
1763,0.994257
1764,1.00317
1765,1.00042
1766,1.00097
1767,1.00078
1768,0.995387
1769,1.00004
1770,1.00034
1771,1.00103
1772,0.995891
1773,1.00591
1774,0.997504
1775,1.0048
1776,0.995857
1777,1.00128
1778,1.00023
1779,0.999925
1780,0.996497
1781,0.997411
1782,0.994182
1783,1.00233
1784,1.00308
1785,0.999627
1786,1.00067
1787,0.99935
1788,1.00617
1789,0.996696
1790,1.00272
1791,1.00049
1792,0.99858
1793,1.00231
1794,1.00178
1795,1.00144
1796,1.00036
1797,0.997809
1798,0.994516
1799,1.00363
1800,1.00127
1801,1.00072
1802,0.995779
1803,0.999393
1804,1.00165
1805,0.993067
1806,0.993133
1807,0.99524
1808,0.998946
1809,1.00446
1810,0.999413
1811,0.994472
1812,1.00132
1813,1.00056
1814,1.00108
1815,1.006
1816,1.00008
1817,0.999718
1818,1.00434
1819,1.00353
1820,0.996749
1821,0.998364
1822,1.00481
1823,1.00151
1824,1.00155
1825,1.00105
1826,1.00257
1827,0.998682
1828,0.998508
1829,1.00458
1830,0.997898
1831,0.997185
1832,1.0049
1833,1.00525
1834,0.999118
1835,1.00015
1836,1.00085
1837,0.998247
1838,1.00029
1839,1.00247
1840,0.998744
1841,1.00172
1842,1.00433
1843,1.002
1844,1.00059
1845,1.00021
1846,1.00002
1847,1.00048
1848,0.995605
1849,1.00065
1850,0.998244
1851,1.00089
1852,1.00326
1853,0.997974
1854,0.999258
1855,1.00237
1856,1.00286
1857,0.999999
1858,0.99972
1859,0.997934
1860,0.998337
1861,0.99685
1862,0.99932
1863,1.00212
1864,0.999719
1865,1.00001
1866,0.994591
1867,0.998766
1868,1.00005
1869,0.998465
1870,1.00597
