T,G,F
947,0.0185,0.02202
948,0.0185,0.02198
949,0.01852,0.02199
950,0.01851,0.02201
951,0.01851,0.02203
952,0.01849,0.02199
953,0.01853,0.022
954,0.01853,0.02194
955,0.01855,0.02196
956,0.01851,0.02197
957,0.01851,0.02199
958,0.01852,0.02198
959,0.01856,0.02189
960,0.01854,0.02194
961,0.01849,0.02202
962,0.01848,0.02199
963,0.01847,0.02203
964,0.0185,0.022
965,0.0185,0.02198
966,0.01853,0.02198
967,0.01848,0.02199
968,0.01852,0.02204
969,0.01859,0.02194
970,0.01861,0.02192
971,0.01856,0.02191
972,0.01854,0.02194
973,0.01856,0.0219
974,0.01856,0.022
975,0.01851,0.02199
976,0.01851,0.02202
977,0.01846,0.02201
978,0.01848,0.02202
979,0.0185,0.02196
980,0.0185,0.02195
981,0.01852,0.02194
982,0.01852,0.02193
983,0.01861,0.02193
984,0.01859,0.0219
985,0.01857,0.0219
986,0.01858,0.02187
987,0.01855,0.02195
988,0.01859,0.02191
989,0.01864,0.02188
990,0.0186,0.02199
991,0.01851,0.02191
992,0.01851,0.02199
993,0.01857,0.02199
994,0.01857,0.02188
995,0.01859,0.02193
996,0.01861,0.02188
997,0.01858,0.02191
998,0.01856,0.02195
999,0.01862,0.02195
1000,0.01866,0.02189
1001,0.01868,0.02182
1002,0.01865,0.02186
1003,0.01859,0.02186
1004,0.01855,0.02191
1005,0.01858,0.02201
1006,0.01854,0.02196
1007,0.01851,0.02197
1008,0.01851,0.02193
1009,0.0185,0.02203
1010,0.01851,0.02199
1011,0.01855,0.02199
1012,0.01857,0.02198
1013,0.01852,0.022
1014,0.01853,0.02198
1015,0.01853,0.02196
1016,0.01851,0.02192
1017,0.01856,0.0219
1018,0.01853,0.02196
1019,0.01852,0.02197
1020,0.01851,0.02195
1021,0.01851,0.02194
1022,0.0186,0.02189
1023,0.01861,0.02193
1024,0.01851,0.02204
1025,0.01855,0.02193
1026,0.01849,0.02197
1027,0.01853,0.02195
1028,0.0186,0.02192
1029,0.0186,0.02196
1030,0.01857,0.0219
1031,0.01856,0.02196
1032,0.01856,0.02199
1033,0.01851,0.02197
1034,0.01853,0.02191
1035,0.01852,0.02196
1036,0.01853,0.02198
1037,0.01857,0.02195
1038,0.01855,0.02201
1039,0.01852,0.02197
1040,0.01852,0.02198
1041,0.0185,0.02198
1042,0.01852,0.02204
1043,0.01849,0.02201
1044,0.01851,0.02203
1045,0.01853,0.022
1046,0.01853,0.02199
1047,0.01852,0.02199
1048,0.01852,0.02197
1049,0.01857,0.02202
1050,0.0185,0.02202
1051,0.01848,0.02205
1052,0.01847,0.022
1053,0.01851,0.02199
1054,0.01849,0.02198
1055,0.01855,0.02203
1056,0.01851,0.02202
1057,0.01852,0.02205
1058,0.01846,0.02199
1059,0.01849,0.02204
1060,0.0185,0.02198
1061,0.01851,0.02198
1062,0.01853,0.02197
1063,0.01855,0.02193
1064,0.01853,0.02196
1065,0.01851,0.02191
1066,0.01854,0.02195
1067,0.01854,0.02194
1068,0.01857,0.02199
1069,0.01851,0.022
1070,0.01851,0.02206
1071,0.01853,0.02197
1072,0.01857,0.02189
1073,0.01855,0.02204
1074,0.01849,0.02205
1075,0.01844,0.02203
1076,0.01849,0.02201
1077,0.01852,0.022
1078,0.01849,0.02196
1079,0.01854,0.02197
1080,0.01851,0.02198
1081,0.01852,0.02205
1082,0.01854,0.022
1083,0.01855,0.02194
1084,0.01849,0.02198
1085,0.01853,0.02195
1086,0.0185,0.022
1087,0.01847,0.02204
1088,0.01844,0.02209
1089,0.01848,0.02206
1090,0.01848,0.02198
1091,0.01848,0.02204
1092,0.01845,0.02202
