t,e^(-dS)
1515,0.912826
1516,1.36999
1517,0.975846
1518,0.937142
1519,0.954355
1520,0.810909
1521,1.16102
1522,1.28634
1523,1.08085
1524,0.761169
1525,0.872319
1526,1.18851
1527,0.802358
1528,0.798197
1529,0.756464
1530,1.04898
1531,1.21495
1532,1.07342
1533,1.01295
1534,1.01638
1535,0.845692
1536,1.00896
1537,0.966214
1538,0.988991
1539,1.07844
1540,0.915029
1541,1.30839
1542,0.942707
1543,1.04736
1544,0.762235
1545,1.10321
1546,0.845438
1547,0.99392
1548,0.832768
1549,1.02206
1550,0.921134
1551,0.940786
1552,0.786392
1553,1.22826
1554,1.35839
1555,1.14557
1556,0.762845
1557,1.26453
1558,0.900505
1559,1.32009
1560,0.930308
1561,1.10683
1562,1.13338
1563,0.747441
1564,1.21252
1565,1.08789
1566,1.19125
1567,0.843665
1568,1.36329
1569,0.796921
1570,1.1055
1571,0.915733
1572,1.20515
1573,0.941303
1574,1.04347
1575,0.712411
1576,1.16428
1577,0.872406
1578,0.835103
1579,1.62385
1580,0.905453
1581,1.02344
1582,1.00687
1583,1.20478
1584,0.872406
1585,0.905661
1586,1.05039
1587,1.02633
1588,0.975281
1589,0.841054
1590,1.26024
1591,0.879414
1592,1.22838
1593,0.751638
1594,0.880646
1595,1.07207
1596,0.660274
1597,0.841727
1598,1.25759
1599,0.924428
1600,0.680247
1601,0.875378
1602,0.873803
1603,0.933625
1604,1.4434
1605,1.11394
1606,1.00339
1607,1.20238
1608,1.1212
1609,1.15235
1610,0.74774
1611,1.06118
1612,1.30148
1613,0.936449
1614,0.927577
1615,0.732128
1616,0.924955
1617,0.973975
1618,0.982073
1619,1.06404
1620,1.09764
1621,1.14958
1622,0.961808
1623,0.879677
1624,1.34986
1625,0.892704
1626,1.03627
1627,1.48186
1628,0.80501
1629,0.972427
1630,1.03396
1631,0.973936
1632,1.17692
1633,1.19925
1634,1.01479
1635,0.954861
1636,0.865282
1637,0.928189
1638,0.912142
1639,1.06194
1640,0.779034
1641,1.06893
1642,0.82961
1643,1.17857
1644,0.827621
1645,1.10727
1646,1.05046
1647,0.792629
1648,0.786077
1649,1.00274
1650,1.10166
1651,1.18046
1652,0.685985
1653,0.958247
1654,1.01365
1655,1.05186
1656,0.890921
1657,1.27685
1658,0.997835
1659,1.16067
1660,1.17023
1661,1.3442
1662,0.887275
1663,1.29305
1664,0.868663
1665,0.869967
1666,0.962222
1667,0.958764
1668,0.832019
1669,0.871447
1670,1.22299
1671,1.10069
1672,1.06554
1673,0.904204
1674,0.919486
1675,0.883645
1676,0.834602
1677,0.936056
1678,1.283
1679,1.14248
1680,0.765214
1681,0.94712
1682,0.924484
1683,1.09228
1684,1.22765
1685,0.898885
1686,0.887453
1687,0.795408
1688,1.1284
1689,1.11684
1690,1.01226
1691,1.16451
1692,0.935092
1693,1.03485
1694,1.15905
1695,0.963917
1696,0.971708
1697,0.959954
1698,1.0405
1699,1.12367
1700,0.852144
1701,0.831853
1702,1.17975
1703,0.878974
1704,0.820862
1705,1.03074
1706,1.03223
1707,0.981474
1708,0.828366
1709,1.01466
1710,0.817994
1711,1.10075
1712,1.16731
1713,1.04256
1714,1.25533
1715,1.03838
1716,0.852911
1717,1.02609
1718,0.792074
1719,1.26706
1720,1.01632
1721,1.18994
1722,1.23257
1723,1.1353
1724,1.1014
1725,1.11874
1726,1.06391
1727,0.847978
1728,1.14419
1729,1.28031
1730,1.02134
1731,0.655406
1732,0.916191
1733,0.950108
1734,1.13417
1735,1.23516
1736,1.20865
1737,1.00579
1738,1.23232
1739,0.902127
1740,0.817749
1741,0.946921
1742,0.808075
1743,0.999664
1744,1.08575
1745,0.931648
1746,0.756086
1747,0.773678
1748,0.922563
1749,0.871012
1750,1.19889
1751,0.865022
1752,1.13145
1753,0.710703
1754,1.0043
1755,1.10339
1756,0.930047
1757,1.28403
1758,0.865801
1759,0.949149
1760,0.978328
1761,1.04283
1762,1.23467
1763,1.00576
1764,1.09359
1765,0.997571
1766,0.815544
1767,0.827787
1768,0.971455
1769,1.25734
1770,1.24608
1771,0.956715
1772,0.921125
1773,0.89324
1774,0.90312
1775,0.96358
1776,0.737418
1777,1.31023
1778,0.954574
1779,1.033
1780,1.10096
1781,1.11918
1782,0.827373
1783,0.943282
1784,0.958304
1785,1.11795
1786,0.847724
1787,0.932189
1788,0.911102
1789,1.06512
1790,0.913986
1791,1.23615
1792,1.11027
1793,1.07738
1794,1.00196
1795,1.03319
1796,1.18376
1797,0.847046
1798,0.996728
1799,1.2517
1800,0.931136
1801,1.08813
1802,1.19375
1803,1.45688
1804,0.85916
1805,0.879765
1806,0.943593
1807,1.39612
1808,0.929815
1809,1.12333
1810,1.1971
1811,0.957892
1812,0.977878
1813,0.898166
1814,1.03481
1815,1.24172
1816,1.05652
1817,1.15408
1818,1.17928
1819,0.799875
1820,0.7736
1821,1.0983
1822,1.07709
1823,0.715553
1824,1.14752
1825,0.939535
1826,0.665511
1827,1.20539
1828,0.757751
1829,0.916265
1830,1.11851
1831,1.50893
1832,0.941454
1833,1.11605
1834,0.822588
1835,1.03414
1836,1.01588
1837,0.880646
1838,1.07707
1839,1.08057
1840,0.805413
1841,0.846115
1842,1.04298
1843,0.943499
1844,1.22691
1845,0.835187
1846,1.08205
1847,0.828863
1848,1.33736
1849,1.041
1850,1.14603
1851,0.824894
1852,1.25936
1853,0.620456
1854,0.734621
1855,0.912771
1856,1.15558
1857,0.800195
1858,1.09825
1859,0.936946
1860,0.960415
1861,1.29875
1862,0.781453
1863,1.07105
1864,1.15408
1865,1.18294
1866,0.675772
1867,0.738304
1868,1.14993
1869,1.38986
