MDTU,S_F
1488,1.00563
1489,1.00078
1490,0.996783
1491,1.00579
1492,1.0038
1493,0.995604
1494,1.00243
1495,0.998518
1496,1.00826
1497,1.00192
1498,0.998932
1499,1.01001
1500,0.994943
1501,0.998499
1502,1.00427
1503,1.00348
1504,0.989391
1505,0.996747
1506,1.00474
1507,0.993724
1508,0.996089
1509,0.996409
1510,1.00319
1511,0.997256
1512,0.998347
1513,1.0051
1514,0.997599
1515,0.999565
1516,1.00368
1517,1.00279
1518,1.00249
1519,1.01106
1520,1.00819
1521,1.003
1522,0.997826
1523,0.990489
1524,0.999758
1525,1.01235
1526,1.00275
1527,0.999375
1528,0.990182
1529,0.98871
1530,1.00348
1531,0.998235
1532,0.998799
1533,1.00634
1534,1.0116
1535,1.00412
1536,0.994025
1537,0.998455
1538,0.998262
1539,1.00257
1540,0.986973
1541,0.999334
1542,0.997029
1543,0.992335
1544,1.00021
1545,0.993757
1546,0.997839
1547,0.996764
1548,0.992101
1549,0.997602
1550,1.00329
1551,0.998235
1552,0.99147
1553,0.996897
1554,1.01306
1555,1.00396
1556,1.01636
1557,0.995688
1558,0.994261
1559,0.996027
1560,0.99559
1561,1.00486
1562,0.995032
1563,0.994313
1564,0.99488
1565,1.00194
1566,0.998955
1567,1.00361
1568,1.00134
1569,0.997185
1570,1.00006
1571,1.00517
1572,0.992021
1573,0.997136
1574,1.00327
1575,0.997433
1576,0.998448
1577,0.999152
1578,1.01192
1579,1.00198
1580,0.996115
1581,0.997365
1582,1.00042
1583,1.00004
1584,1.006
1585,1.00305
1586,1.00737
1587,1.00022
1588,0.998363
1589,1.0064
1590,0.998404
1591,1.0055
1592,0.991868
1593,0.99222
1594,0.991459
1595,0.996809
1596,1.00614
1597,1.00452
1598,1.00519
1599,0.998351
1600,1.00265
1601,1.00377
1602,1.00007
1603,1.00022
1604,1.00399
1605,1.00118
1606,0.995602
1607,0.995964
1608,0.998866
1609,0.998211
1610,1.00555
1611,1.00186
1612,1.00036
1613,0.999629
1614,1.00525
1615,0.996514
1616,0.997487
1617,1.00963
1618,0.998226
1619,1.00096
1620,1.00696
1621,0.999597
1622,0.997207
1623,1.00391
1624,0.990247
1625,1.0009
1626,0.999619
1627,1.01114
1628,1.00274
1629,1.00183
1630,0.993079
1631,1.00095
1632,0.99593
1633,0.99969
1634,1.01009
1635,1.003
1636,1.00088
1637,1.00292
1638,0.995334
1639,1.00222
1640,1.00236
1641,0.997787
1642,1.00241
1643,1.00487
1644,1.00561
1645,0.99514
1646,0.996005
1647,0.998809
1648,1.00058
1649,1.00227
1650,1.00519
1651,1.0009
1652,1.0054
1653,1.00086
1654,1.00001
1655,1.00388
1656,0.984721
1657,0.999154
1658,1.00455
1659,1.00278
1660,1.01054
1661,1.00559
1662,0.994017
1663,1.0125
1664,0.996103
1665,0.998442
1666,0.995401
1667,0.997563
1668,1.00673
1669,1.00094
1670,1.00399
1671,0.99619
1672,0.998199
1673,0.994308
1674,1.00104
1675,1.00005
1676,1.00385
1677,1.00849
1678,1.00817
1679,0.991479
1680,0.996483
1681,1.01174
1682,1.00671
1683,0.992653
1684,0.995734
1685,0.998889
1686,0.99868
1687,1.01166
1688,1.00337
1689,1.00686
1690,0.998139
1691,0.994084
1692,1.00336
1693,0.9986
1694,0.983889
1695,0.997542
1696,0.998965
1697,0.998042
1698,0.991945
1699,0.999568
1700,1.0037
1701,0.997613
1702,0.99477
1703,0.991605
1704,0.995574
1705,1.00104
1706,0.996785
1707,0.998282
1708,0.998031
1709,0.992818
1710,1.00142
1711,0.998197
1712,0.999594
1713,1.00303
1714,1.00581
1715,0.997364
1716,0.998524
1717,1.00159
1718,0.999762
1719,1.0069
1720,0.99276
1721,1.00081
1722,1.00053
1723,0.992932
1724,0.995556
1725,1.00812
1726,0.991147
1727,1.00435
1728,1.00577
1729,1.00151
1730,1.00076
1731,0.995259
1732,0.999779
1733,0.997472
1734,1.00169
1735,1.00478
1736,0.995196
1737,0.997665
1738,1.00562
1739,0.99949
1740,0.992351
1741,1.00094
1742,0.994069
1743,1.00012
1744,0.994823
1745,0.997344
1746,1.00415
1747,0.998983
1748,0.999536
1749,0.992601
1750,1.00189
1751,0.993281
1752,0.996111
1753,0.993475
1754,1.00134
1755,1.00283
1756,1.00062
1757,0.994656
1758,0.998401
1759,0.992819
1760,1.00207
1761,1.00407
1762,0.998514
1763,1.00747
1764,1.00487
1765,0.992877
1766,1.00512
1767,1.002
1768,1.00063
1769,0.999759
1770,0.994819
1771,1.00086
1772,1.00605
1773,1.00181
1774,0.999668
1775,1.00238
1776,1.00887
1777,1.00451
1778,1.01026
1779,1.00509
1780,1.00435
1781,1.00573
1782,0.999074
1783,1.00245
1784,1.01063
1785,0.997747
1786,1.01191
1787,1.00745
1788,1.006
1789,1.00331
1790,1.00741
1791,0.997926
1792,1.00172
1793,0.996103
1794,0.996864
1795,1.00152
1796,1.00813
1797,0.999781
1798,0.997307
1799,0.999752
1800,0.990566
1801,1.00812
1802,0.995983
1803,1.00578
1804,1.00207
1805,1.00869
1806,0.997654
1807,0.999704
1808,1.00063
1809,0.995257
1810,1.00325
1811,1.00242
1812,0.989001
1813,0.991777
1814,1.00204
1815,1.00113
1816,1.00667
1817,0.991306
1818,0.993536
1819,1.00219
1820,1.00989
1821,1.00168
1822,1.00013
1823,0.999323
1824,0.988315
1825,0.997342
1826,1.00545
1827,0.996022
1828,1.00157
1829,1.00182
1830,0.998391
1831,0.997671
1832,1.00591
1833,0.993652
1834,0.994766
1835,0.998597
1836,0.998395
1837,1.00483
1838,1.00252
1839,1.00286
1840,1.01084
1841,1.00114
1842,1.00241
1843,0.999805
1844,1.00335
1845,0.99058
1846,0.996089
1847,1.00316
1848,0.998995
1849,0.99429
1850,1.00646
1851,1.00181
1852,1.00225
1853,1.00996
1854,1.00842
1855,1.00259
1856,1.00357
1857,0.992341
1858,0.998464
1859,0.999224
1860,0.995457
1861,1.00019
1862,1.01039
1863,1.00205
1864,1.00865
1865,0.990199
1866,1.00628
1867,1.00556
1868,1.00302
1869,0.990975
1870,1.00591
1871,1.0116
