MDTU,plaq_ss,plaq_st
819,1.06483,1.20404
820,1.08894,1.15549
821,1.06691,1.18827
822,1.08631,1.18934
823,1.06193,1.16041
824,1.08685,1.15305
825,1.12396,1.1205
826,1.10565,1.10311
827,1.1045,1.10267
828,1.10372,1.10742
829,1.12122,1.11038
830,1.11128,1.11306
831,1.05283,1.16274
832,1.1105,1.14793
833,1.10636,1.10953
834,1.10636,1.10953
835,1.1475,1.1243
836,1.1475,1.1243
837,1.18969,1.07238
838,1.24233,1.06495
839,1.20508,1.05053
840,1.2512,1.06222
841,1.29147,1.04636
842,1.29428,1.05271
843,1.22553,1.05365
844,1.23432,1.07277
845,1.25444,1.06612
846,1.29053,1.02927
847,1.26752,1.04692
848,1.23625,1.05757
849,1.23625,1.05757
850,1.24363,1.03292
851,1.23127,1.03723
852,1.19137,1.05301
853,1.20817,1.067
854,1.11162,1.14099
855,1.17194,1.1144
856,1.09451,1.12239
857,1.05982,1.16644
858,1.13497,1.13379
859,1.17242,1.15618
860,1.18459,1.16919
861,1.17306,1.1581
862,1.19941,1.13449
863,1.14976,1.10467
864,1.1329,1.15754
865,1.05985,1.16882
866,1.06638,1.21546
867,1.06296,1.22737
868,1.08667,1.21824
869,1.06562,1.18717
870,1.06293,1.16369
871,1.06853,1.13808
872,1.06407,1.10006
873,1.07434,1.12207
874,1.0615,1.11162
875,1.08014,1.11107
876,1.08561,1.12779
877,1.11221,1.08106
878,1.09508,1.08935
879,1.09508,1.08935
880,1.13882,1.08041
881,1.10473,1.0958
882,1.06137,1.1279
883,1.07058,1.10568
884,1.07058,1.10568
885,1.10617,1.11625
886,1.12562,1.09408
887,1.15526,1.09365
888,1.18445,1.04098
889,1.2131,1.05209
890,1.24537,1.04837
891,1.24537,1.04837
892,1.16517,1.06709
893,1.2144,1.03266
894,1.17433,1.03423
895,1.1758,1.03107
896,1.16098,1.05732
897,1.14272,1.07587
898,1.18243,1.05989
899,1.23194,1.05148
900,1.25012,1.05271
901,1.25012,1.05271
902,1.24503,1.06964
903,1.23761,1.09783
904,1.24571,1.10171
905,1.29601,1.09338
906,1.29601,1.09338
907,1.28494,1.10294
908,1.25895,1.0982
909,1.25117,1.09594
910,1.22923,1.08454
911,1.25068,1.07005
912,1.25985,1.0461
913,1.27206,1.09024
914,1.32693,1.07687
915,1.22613,1.11245
916,1.25634,1.11023
917,1.29302,1.14024
918,1.26136,1.10481
919,1.25837,1.10823
920,1.23625,1.08378
921,1.22067,1.07987
922,1.25551,1.07953
923,1.17294,1.10475
924,1.13739,1.11159
925,1.14438,1.0955
926,1.16498,1.08507
927,1.16498,1.08507
928,1.2108,1.04155
929,1.19631,1.03994
930,1.14946,1.0542
931,1.06888,1.08739
932,1.07104,1.08955
933,1.07104,1.08955
934,1.03611,1.10716
935,1.03165,1.10417
936,1.10733,1.07546
937,1.13455,1.09087
938,1.09258,1.08811
939,1.08335,1.0738
940,1.08335,1.0738
941,1.13056,1.07652
942,1.06301,1.09022
943,1.09472,1.08408
944,1.09472,1.08408
945,1.14082,1.09044
946,1.15286,1.07442
947,1.1398,1.08727
948,1.13695,1.06262
949,1.12097,1.10054
950,1.13606,1.08229
951,1.14482,1.06988
952,1.16807,1.04101
953,1.19737,1.04052
954,1.19044,1.04154
955,1.14054,1.06585
956,1.11397,1.09089
957,1.09919,1.083
958,1.09335,1.0709
959,1.03917,1.10914
960,1.03173,1.09913
961,1.03986,1.11655
962,1.03986,1.11655
963,0.999739,1.14871
964,0.987549,1.14029
965,0.969335,1.13001
966,0.969335,1.13001
967,0.936847,1.13836
968,0.987617,1.13376
969,1.07734,1.11671
970,1.06548,1.11638
971,1.02212,1.10556
972,1.03695,1.08212
973,1.03093,1.08725
974,1.02719,1.09364
975,1.01742,1.10501
976,0.971621,1.11294
977,1.0035,1.09898
978,1.00379,1.111
979,1.00231,1.10698
980,1.05458,1.08219
981,1.04915,1.10128
982,1.05695,1.08286
983,1.07448,1.08755
984,1.06831,1.08494
985,1.05614,1.10275
986,1.05726,1.09956
987,1.0634,1.09676
988,1.09508,1.06606
989,1.08044,1.09044
990,1.10079,1.05712
991,1.14289,1.02327
992,1.12719,1.01696
993,1.11429,1.02393
994,1.09603,1.03802
995,1.08537,1.03102
996,1.13042,1.0191
997,1.19376,0.994394
998,1.19986,1.00605
999,1.23421,0.991404
1000,1.23986,0.981186
1001,1.27721,0.978271
1002,1.27721,0.978271
1003,1.30494,0.962495
1004,1.28047,0.97566
1005,1.28047,0.97566
1006,1.2525,0.997515
1007,1.24949,0.979977
1008,1.18801,1.0049
1009,1.20123,1.00893
1010,1.18548,1.00232
1011,1.1805,1.0247
1012,1.15073,1.02355
1013,1.18095,1.05207
1014,1.19491,1.02102
1015,1.24382,0.985209
1016,1.28494,0.999356
1017,1.28524,1.00554
1018,1.27967,1.04146
1019,1.265,1.02896
1020,1.16872,1.08904
1021,1.14643,1.08454
1022,1.1439,1.09519
1023,1.15872,1.06815
1024,1.14858,1.07973
1025,1.14858,1.07973
1026,1.18436,1.0923
1027,1.17594,1.08463
1028,1.20621,1.12368
1029,1.20202,1.10893
1030,1.2204,1.13608
1031,1.20623,1.12194
1032,1.18651,1.15345
1033,1.15934,1.12593
1034,1.16056,1.1437
1035,1.17656,1.09351
1036,1.14283,1.08327
1037,1.14283,1.08327
1038,1.09471,1.08663
1039,1.13584,1.07414
1040,1.10941,1.07095
1041,1.12454,1.09101
1042,1.12454,1.09101
1043,1.1239,1.06914
1044,1.18486,1.09271
1045,1.18486,1.09271
1046,1.169,1.09744
1047,1.17429,1.09299
1048,1.14887,1.11186
1049,1.15776,1.11087
1050,1.12384,1.12041
1051,1.09816,1.14349
1052,1.11697,1.11071
1053,1.14001,1.11769
1054,1.14838,1.13221
1055,1.14271,1.08777
1056,1.11313,1.10796
1057,1.13661,1.1115
1058,1.13931,1.12127
1059,1.21337,1.11081
1060,1.16587,1.13342
1061,1.17792,1.11061
1062,1.23195,1.11309
1063,1.17927,1.10751
1064,1.17528,1.09095
1065,1.17754,1.08944
1066,1.18016,1.09396
1067,1.1691,1.06626
1068,1.17927,1.07409
1069,1.20921,1.09186
1070,1.1708,1.09027
1071,1.19401,1.12152
1072,1.13433,1.12773
1073,1.09027,1.13284
1074,1.12272,1.16366
1075,1.12272,1.16366
1076,1.15851,1.17575
1077,1.09932,1.18968
1078,1.11657,1.16746
1079,1.12584,1.16117
1080,1.13804,1.16634
1081,1.12347,1.1698
1082,1.194,1.10534
1083,1.14375,1.08425
1084,1.06668,1.07514
1085,1.053,1.09515
1086,1.02973,1.11821
1087,1.07625,1.11722
1088,1.07625,1.11722
1089,1.07617,1.11198
1090,1.06852,1.12318
1091,1.02223,1.13331
1092,1.07123,1.14425
1093,1.05294,1.12373
1094,1.05294,1.12373
1095,1.06242,1.13885
1096,1.0224,1.1385
1097,1.0145,1.11835
1098,1.0145,1.11835
1099,1.02555,1.11716
1100,1.02269,1.11195
1101,1.02269,1.11195
1102,1.03108,1.10962
1103,1.01885,1.12155
1104,0.990038,1.1209
1105,0.972183,1.11348
1106,0.950935,1.12278
1107,0.91045,1.13639
1108,0.914575,1.14367
1109,0.931006,1.1077
1110,0.922442,1.12359
1111,0.902822,1.12855
1112,0.874464,1.12999
1113,0.842829,1.14771
1114,0.862628,1.1485
1115,0.871069,1.15252
1116,0.855894,1.1624
1117,0.872574,1.15984
1118,0.861712,1.16741
1119,0.874081,1.15924
1120,0.899442,1.14488
1121,0.897889,1.14227
1122,0.890247,1.16816
1123,0.842365,1.16378
1124,0.898487,1.18014
1125,0.852399,1.17175
1126,0.893379,1.16546
1127,0.910723,1.16991
1128,0.963079,1.12578
1129,0.971512,1.14848
1130,1.03236,1.13756
1131,1.07388,1.11618
1132,1.08418,1.07552
1133,1.15057,1.07835
1134,1.18117,1.07551
1135,1.13,1.06253
1136,1.14054,1.0248
1137,1.12484,1.03695
1138,1.11325,1.04278
1139,1.15988,1.04808
1140,1.1503,1.05567
1141,1.09804,1.07591
1142,1.12327,1.06722
1143,1.09186,1.07611
1144,1.07798,1.07078
1145,1.10961,1.09981
1146,1.05863,1.09834
1147,1.07986,1.08416
1148,1.07247,1.10609
