MDTU,min_min,min_max,max_min,max_max5
480,-0.949125,0.0392364,-0.110353,0.434171
481,-1.19869,0.0907637,-0.0174495,0.442617
482,-1.14701,0.0805826,-0.038828,0.445067
483,-1.21493,0.113162,0.010768,0.467059
484,-1.04068,0.128982,-0.00786466,0.496819
485,-1.44209,0.0480986,-0.0161561,0.448271
486,-1.05725,0.0630287,-0.0742609,0.461642
487,-1.02424,0.058553,0.0211015,0.452075
488,-1.2496,0.112824,-0.0560034,0.452568
489,-1.29949,0.125742,-0.0512474,0.47215
490,-1.38887,0.0912124,-0.00724202,0.431137
491,-1.21112,0.0484722,-0.190855,0.492548
492,-1.28321,0.153849,-0.0290383,0.462819
493,-1.2817,0.0850714,-0.117269,0.47436
494,-1.07842,0.127059,-0.0278208,0.455675
495,-1.14571,0.131026,-0.0375012,0.529377
496,-1.53797,0.122809,-0.0803024,0.563299
497,-1.41228,0.107402,-0.017167,0.521133
498,-1.41228,0.107402,-0.017167,0.521133
499,-1.20176,0.135223,-0.113046,0.493371
500,-1.48908,0.0906857,-0.114905,0.496323
501,-1.48907,0.0906857,-0.114905,0.496323
502,-1.05791,0.13341,-0.0471437,0.465429
503,-1.09975,0.160754,-0.0158203,0.467316
504,-1.20824,0.120094,-0.0262194,0.483717
505,-1.33716,0.116561,-0.0712014,0.465717
506,-1.00457,0.0812952,0.00846592,0.487602
507,-1.00457,0.0812952,0.00846592,0.487602
508,-1.09472,0.0455581,0.00249185,0.511773
509,-1.0906,0.0741624,-0.0330047,0.472896
510,-1.38398,0.124422,-0.0527577,0.519702
511,-0.989508,0.132047,-0.0346179,0.475194
512,-0.989508,0.132047,-0.0346179,0.475194
513,-1.56596,0.11382,0.025001,0.491023
514,-1.33054,0.0833209,-0.0274935,0.487712
515,-1.09961,0.124812,-0.0384546,0.460572
516,-1.17326,0.127585,-0.00218578,0.495241
517,-0.977725,0.0816908,-0.0138236,0.477139
518,-1.05495,0.0496853,0.00203978,0.491161
519,-1.21837,0.0858503,0.0394991,0.457467
520,-0.896114,0.0478361,0.00943997,0.477892
521,-0.9938,0.0631781,-0.0339672,0.467633
522,-1.14421,0.0490339,-0.0841781,0.488608
523,-1.14421,0.0490339,-0.0841781,0.488608
524,-0.967137,0.0815484,-0.0456354,0.481415
525,-1.31261,0.0759337,-0.0559413,0.482137
526,-1.03281,0.0731408,-0.0450279,0.473815
527,-1.27351,0.0382927,-0.0545285,0.503134
528,-0.986115,0.107433,-0.0961733,0.549155
529,-1.05308,0.0437756,-0.0206227,0.491803
530,-1.18171,0.152198,-0.0208046,0.520437
531,-1.01432,0.108102,-0.124936,0.534366
532,-1.18801,0.0740837,-0.0110016,0.528546
533,-1.22027,0.0938139,0.0131014,0.526597
534,-1.07211,0.100539,-0.0526741,0.504465
535,-0.995997,0.0678582,-0.105968,0.548632
536,-1.04005,0.0545499,-0.0417442,0.47855
537,-1.54312,0.0801735,-0.114655,0.505398
538,-1.08937,0.0733537,-0.151158,0.531986
539,-1.0868,0.0357647,-0.0699814,0.552224
540,-1.42316,0.103512,-0.0966551,0.509578
541,-1.0232,0.116208,-0.109429,0.554207
542,-0.894153,0.116168,-0.047822,0.548378
543,-0.959929,0.088496,-0.0111354,0.488054
544,-1.023,0.0976781,-0.0742633,0.444401
545,-1.023,0.0976781,-0.0742633,0.444401
546,-0.91173,0.102676,-0.0894438,0.540259
547,-0.948765,0.079125,-0.0449515,0.579753
548,-1.1904,0.0947599,-0.0126978,0.481732
549,-1.07404,0.0535265,-0.145337,0.491656
550,-1.15282,0.0822023,-0.00791614,0.508064
551,-1.15282,0.0822023,-0.00791613,0.508064
552,-0.910537,0.0576922,-0.0804928,0.484307
