MDTU,S_B
1699,0.999618
1700,1.00494
1701,1.00365
1702,1.02023
1703,1.00544
1704,1.00119
1705,1.01282
1706,1.01492
1707,0.998198
1708,0.993215
1709,0.998066
1710,0.998066
1711,1.0056
1712,0.990263
1713,0.985311
1714,0.99681
1715,0.99919
1716,0.991172
1717,0.989476
1718,0.989476
1719,0.999458
1720,0.993017
1721,0.985069
1722,0.981619
1723,0.999325
1724,0.991549
1725,0.995691
1726,0.990569
1727,0.990472
1728,1.00386
1729,1.00123
1730,1.02112
1731,1.01747
1732,1.00355
1733,1.01104
1734,0.999191
1735,0.998521
1736,1.00471
1737,1.00201
1738,1.00661
1739,0.994874
1740,0.995289
1741,1.00498
1742,1.00417
1743,0.993059
1744,0.991267
1745,0.998261
1746,0.998782
1747,0.998782
1748,1.00802
1749,0.996617
1750,0.999481
1751,0.998439
1752,1.00461
1753,1.00461
1754,1.0091
1755,1.0148
1756,1.00049
1757,1.00775
1758,0.996964
1759,1.0009
1760,0.989154
1761,0.989923
1762,0.997991
1763,0.997527
1764,1.00095
1765,1.0072
1766,1.00598
1767,0.998711
1768,0.988603
1769,1.00574
1770,0.998082
1771,0.993409
1772,0.989876
1773,0.995904
1774,0.998879
1775,1.0192
1776,0.994658
1777,0.999842
1778,1.00679
1779,0.995529
1780,0.997358
1781,1.00784
1782,0.984249
1783,0.995813
1784,0.981519
1785,0.989239
1786,0.992644
1787,0.984829
1788,0.984829
1789,0.980257
1790,0.98489
1791,0.995742
1792,0.986053
1793,1.00147
1794,1.00437
1795,1.00419
1796,0.996618
1797,0.997582
1798,1.00014
1799,0.991215
1800,1.00336
1801,0.995935
1802,0.989813
1803,0.988298
1804,0.995392
1805,0.995753
1806,0.995861
1807,0.990033
1808,0.981037
1809,0.987276
1810,0.982882
1811,0.996482
1812,0.999305
1813,0.993835
1814,1.00177
1815,0.997705
1816,0.996985
1817,1.00301
1818,0.992959
1819,0.997476
1820,0.98164
1821,0.979146
1822,0.982666
1823,0.990069
1824,0.996625
1825,0.996625
1826,1.00667
1827,0.999352
1828,0.998912
1829,1.01007
1830,0.979833
1831,1.0089
1832,0.998426
1833,0.992565
1834,0.99725
1835,0.99955
1836,1.00607
1837,1.02012
1838,1.02383
1839,1.00277
1840,1.00277
1841,1.01048
1842,1.00437
1843,1.00821
1844,1.01106
1845,1.01106
1846,1.00561
1847,0.991445
1848,0.994409
1849,0.990202
1850,1.00104
1851,1.00104
1852,1.0001
1853,1.0001
1854,0.997967
1855,1.00288
1856,1.00973
1857,1.0069
1858,1.00166
1859,0.995846
1860,1.00554
1861,0.987732
1862,0.987425
1863,1.00198
1864,0.996155
1865,1.00535
1866,0.990117
1867,1.00529
