t,cg_iters
1493,2838
1494,2955
1495,2843
1496,2701
1497,2586
1498,2610
1499,2681
1500,2610
1501,2689
1502,2603
1503,2539
1504,2651
1505,2657
1506,2661
1507,2657
1508,2689
1509,2740
1510,3036
1511,3391
1512,3605
1513,2955
1514,2748
1515,2821
1516,2883
1517,2818
1518,2825
1519,2791
1520,2735
1521,2750
1522,2996
1523,3031
1524,2736
1525,2952
1526,3136
1527,3012
1528,2998
1529,2910
1530,3080
1531,3276
1532,3357
1533,3191
1534,3164
1535,3181
1536,3044
1537,3171
1538,3162
1539,3203
1540,3066
1541,3203
1542,3181
1543,3002
1544,3149
1545,3266
1546,3344
1547,2986
1548,2883
1549,2881
1550,2989
1551,3025
1552,2942
1553,2955
1554,3017
1555,2911
1556,2976
1557,3165
1558,3267
1559,3155
1560,3053
1561,3086
1562,3078
1563,3181
1564,3220
1565,3123
1566,3229
1567,3201
1568,2930
1569,3020
1570,3235
1571,3134
1572,3213
1573,3379
1574,3355
1575,3298
1576,3309
1577,3319
1578,3362
1579,3223
1580,3303
1581,3341
1582,3252
1583,3285
1584,3341
1585,3185
1586,3178
1587,3023
1588,3037
1589,2998
1590,2840
1591,2796
1592,2801
1593,2979
1594,2996
1595,2821
1596,2637
1597,2670
1598,2734
1599,2899
1600,2866
1601,2878
1602,2899
1603,2640
1604,2633
1605,2828
1606,3335
1607,3406
1608,3067
1609,3463
1610,3319
1611,3561
1612,3785
1613,3678
1614,3544
1615,3287
1616,2979
1617,2696
1618,2766
1619,2688
1620,2534
1621,2665
1622,2532
1623,2472
1624,2486
1625,2669
1626,2740
1627,2576
1628,2543
1629,2522
1630,2588
1631,2902
1632,2742
1633,2616
1634,2544
1635,2535
1636,2530
1637,2621
1638,2570
1639,2526
1640,2649
1641,2728
1642,2842
1643,2841
1644,2802
1645,2902
1646,2886
1647,2838
1648,2880
1649,2747
1650,2761
1651,2853
1652,2919
1653,2999
1654,2880
1655,2741
1656,2695
1657,2798
1658,2813
1659,2766
1660,2682
1661,2736
1662,2681
1663,2726
1664,2712
1665,2660
1666,2742
1667,2504
1668,2469
1669,2688
1670,2893
1671,2746
1672,2799
1673,2877
1674,2806
1675,2781
1676,2873
1677,2814
1678,3072
1679,3342
1680,3187
1681,3318
1682,3629
1683,3138
1684,2989
1685,3238
1686,2893
1687,2676
1688,2770
1689,2806
1690,2900
1691,2829
1692,2852
1693,2800
1694,3065
1695,2964
1696,2933
1697,2930
1698,2998
1699,2930
1700,2879
1701,2849
1702,2824
1703,2799
1704,2761
1705,2779
1706,2692
1707,2658
1708,2710
1709,2723
1710,2692
1711,2749
1712,2747
1713,2707
1714,2774
1715,2777
1716,2789
1717,2910
1718,2950
1719,2926
1720,3032
1721,2963
1722,3099
1723,3094
1724,2954
1725,2965
1726,2920
1727,2800
1728,2813
1729,3043
1730,3011
1731,2892
1732,2996
1733,3022
1734,2821
1735,2849
1736,2861
1737,2834
1738,2906
1739,2902
1740,2871
1741,2734
1742,2775
1743,2777
1744,3081
1745,3179
1746,3532
1747,3780
1748,3836
1749,3258
1750,3383
1751,2966
1752,2917
1753,3025
1754,2932
1755,2908
1756,2890
1757,2889
1758,2784
1759,2660
1760,2829
1761,3223
1762,3193
1763,3030
1764,3230
1765,3101
1766,2991
1767,3298
1768,3409
1769,3332
1770,3110
1771,3089
1772,2977
1773,2931
1774,2840
1775,2912
1776,2686
1777,2810
1778,2764
1779,2793
1780,2902
1781,2916
1782,2819
1783,2521
1784,2514
1785,2615
1786,2715
1787,2916
1788,2854
1789,2786
1790,2686
1791,2820
1792,2662
1793,2736
1794,2626
1795,2774
1796,2861
1797,2853
1798,2775
1799,2740
1800,2691
1801,2809
1802,2822
1803,2906
1804,2864
1805,2791
1806,2780
1807,2734
1808,2711
1809,2765
1810,3092
1811,2990
1812,2975
1813,3000
1814,2938
1815,3000
1816,3028
1817,2829
1818,2919
1819,2789
1820,2864
1821,2700
1822,2670
1823,2694
1824,2771
1825,2717
1826,2794
1827,2811
1828,2886
1829,2768
1830,2719
1831,2731
1832,2720
1833,2618
1834,2656
1835,2576
1836,2503
1837,2523
1838,2551
1839,2491
1840,2445
1841,2467
1842,2488
1843,2502
1844,2595
1845,2577
1846,2611
1847,2685
1848,2547
1849,2463
1850,2486
1851,2568
1852,2582
1853,2623
1854,2794
1855,2862
1856,2786
1857,2673
1858,2695
1859,2600
1860,2612
1861,2536
1862,2428
1863,2683
1864,3478
1865,4129
1866,3877
1867,3535
1868,3367
1869,2919
1870,2717
1871,2885
1872,2674
1873,2805
1874,2671
1875,2733
1876,2542
1877,2526
1878,2462
1879,2327
1880,2516
1881,2540
1882,2464
1883,2509
1884,2807
1885,2707
1886,2657
1887,2811
1888,2941
1889,2696
1890,2769
1891,2823
1892,2955
1893,2748
1894,2595
1895,2519
1896,2546
1897,2514
1898,2501
1899,2612
1900,2516
1901,2507
1902,2543
1903,2508
1904,2445
1905,2418
1906,2360
1907,2429
1908,2558
1909,2495
1910,2397
1911,2403
1912,2447
1913,2554
1914,2578
1915,2529
1916,2522
1917,2503
1918,2471
1919,2382
1920,2376
1921,2465
1922,2427
1923,2428
1924,2387
1925,2372
1926,2354
1927,2391
1928,2416
1929,2361
1930,2385
1931,2416
1932,2529
1933,2440
1934,2527
1935,2472
1936,2408
1937,2501
1938,2568
1939,2399
1940,2458
1941,2390
1942,2409
1943,2396
1944,2427
1945,2446
1946,2461
1947,2495
1948,2485
1949,2639
1950,2620
1951,2567
1952,2601
1953,2549
1954,2500
1955,2557
1956,2614
1957,2549
1958,2602
